"cm_id","course_id","cm_file","cm_status","cm_deleted","cm_add_date","cm_modified_date","added_by_admin","modified_by_admin","deleted_by_admin"
"1","1","11012020184627_courses_back.PNG","1","1","2020-01-11 08:16:27","2025-11-19 10:54:58","8","0","8"
"2","2","21012020154639_B-CARD-INSTEEL.pdf","1","0","2020-01-21 05:16:39","0000-00-00 00:00:00","8","0","0"
"3","4","21012020173541_201501.pdf","1","0","2020-01-21 07:05:41","0000-00-00 00:00:00","8","0","0"
"4","5","21012020174613_Slide1.JPG","1","0","2020-01-21 07:16:13","0000-00-00 00:00:00","8","0","0"
"5","5","21012020174816_Slide2.JPG","1","0","2020-01-21 07:18:16","0000-00-00 00:00:00","8","0","0"
"6","6","21012020191113_hongkog-convention.pdf","1","0","2020-01-21 08:41:13","0000-00-00 00:00:00","8","0","0"
"7","1","22012020003330_about_inner.jpg","1","0","2020-01-21 14:03:30","2024-08-22 21:41:36","8","0","8"
"8","1","22012020003330_aboutus.PNG","1","0","2020-01-21 14:03:30","2024-08-22 21:41:36","8","0","8"
"9","1","22012020003330_banner.jpg","1","0","2020-01-21 14:03:30","2024-08-22 21:41:36","8","0","8"
"10","1","22012020003330_bg-img-2.jpg","1","0","2020-01-21 14:03:30","2024-08-22 21:41:36","8","0","8"
"11","1","22012020003330_bg-img-3.jpg","1","0","2020-01-21 14:03:30","2024-08-22 21:41:36","8","0","8"
"12","1","22012020003330_career-advancement.jpg","1","0","2020-01-21 14:03:30","2024-08-22 21:41:36","8","0","8"
"13","1","22012020003330_cost-effective.jpg","1","0","2020-01-21 14:03:30","2024-08-22 21:41:36","8","0","8"
"14","1","22012020003330_counter_bg.jpg","1","0","2020-01-21 14:03:30","2024-08-22 21:41:36","8","0","8"
"15","1","22012020003330_courses_back.PNG","1","0","2020-01-21 14:03:30","2024-08-22 21:41:36","8","0","8"
"16","1","22012020003330_flexibility.jpg","1","0","2020-01-21 14:03:30","2024-08-22 21:41:36","8","0","8"
"17","7","23012020225453_Slide1.JPG","1","0","2020-01-23 12:24:53","2020-01-23 22:55:51","8","0","8"
"18","7","23012020225453_Slide2.JPG","1","0","2020-01-23 12:24:53","2020-01-23 22:55:51","8","0","8"
"19","7","23012020225453_Slide3.JPG","1","0","2020-01-23 12:24:53","2020-01-23 22:55:51","8","0","8"
"20","7","23012020225453_Slide4.JPG","1","0","2020-01-23 12:24:53","2020-01-23 22:55:51","8","0","8"
"21","7","23012020225453_Slide5.JPG","1","0","2020-01-23 12:24:53","2020-01-23 22:55:51","8","0","8"
"22","7","23012020225646_Slide1.JPG","1","0","2020-01-23 12:26:46","0000-00-00 00:00:00","8","0","0"
"23","7","23012020225646_Slide2.JPG","1","0","2020-01-23 12:26:46","0000-00-00 00:00:00","8","0","0"
"24","7","23012020225646_Slide3.JPG","1","0","2020-01-23 12:26:46","0000-00-00 00:00:00","8","0","0"
"25","7","23012020225646_Slide4.JPG","1","0","2020-01-23 12:26:46","0000-00-00 00:00:00","8","0","0"
"26","7","23012020225646_Slide5.JPG","1","0","2020-01-23 12:26:46","0000-00-00 00:00:00","8","0","0"
"27","7","23012020225646_Slide6.JPG","1","0","2020-01-23 12:26:46","0000-00-00 00:00:00","8","0","0"
"28","7","23012020225646_Slide7.JPG","1","0","2020-01-23 12:26:46","0000-00-00 00:00:00","8","0","0"
"29","7","23012020225646_Slide8.JPG","1","0","2020-01-23 12:26:46","0000-00-00 00:00:00","8","0","0"
"30","7","23012020225646_Slide9.JPG","1","0","2020-01-23 12:26:46","0000-00-00 00:00:00","8","0","0"
"31","7","23012020225646_Slide10.JPG","1","0","2020-01-23 12:26:46","0000-00-00 00:00:00","8","0","0"
"32","7","23012020225723_Slide11.JPG","1","0","2020-01-23 12:27:23","0000-00-00 00:00:00","8","0","0"
"33","7","23012020225723_Slide12.JPG","1","0","2020-01-23 12:27:23","0000-00-00 00:00:00","8","0","0"
"34","7","23012020225723_Slide13.JPG","1","0","2020-01-23 12:27:23","0000-00-00 00:00:00","8","0","0"
"35","7","23012020225723_Slide14.JPG","1","0","2020-01-23 12:27:23","0000-00-00 00:00:00","8","0","0"
"36","7","23012020225723_Slide15.JPG","1","0","2020-01-23 12:27:23","0000-00-00 00:00:00","8","0","0"
"37","7","23012020225723_Slide16.JPG","1","0","2020-01-23 12:27:23","0000-00-00 00:00:00","8","0","0"
"38","7","23012020225723_Slide17.JPG","1","0","2020-01-23 12:27:23","0000-00-00 00:00:00","8","0","0"
"39","7","23012020225723_Slide18.JPG","1","0","2020-01-23 12:27:23","0000-00-00 00:00:00","8","0","0"
"40","9","23012020231318_Slide1.JPG","1","0","2020-01-23 12:43:18","0000-00-00 00:00:00","8","0","0"
"41","9","23012020231318_Slide2.JPG","1","0","2020-01-23 12:43:18","0000-00-00 00:00:00","8","0","0"
"42","9","23012020231318_Slide3.JPG","1","0","2020-01-23 12:43:18","0000-00-00 00:00:00","8","0","0"
"43","9","23012020231318_Slide4.JPG","1","0","2020-01-23 12:43:18","0000-00-00 00:00:00","8","0","0"
"44","9","23012020231318_Slide5.JPG","1","0","2020-01-23 12:43:18","0000-00-00 00:00:00","8","0","0"
"45","9","23012020231318_Slide6.JPG","1","0","2020-01-23 12:43:18","0000-00-00 00:00:00","8","0","0"
"46","9","23012020231318_Slide7.JPG","1","0","2020-01-23 12:43:18","0000-00-00 00:00:00","8","0","0"
"47","9","23012020231318_Slide8.JPG","1","0","2020-01-23 12:43:18","0000-00-00 00:00:00","8","0","0"
"48","9","23012020231318_Slide9.JPG","1","0","2020-01-23 12:43:18","0000-00-00 00:00:00","8","0","0"
"49","9","23012020231318_Slide10.JPG","1","0","2020-01-23 12:43:18","0000-00-00 00:00:00","8","0","0"
"50","8","23012020231456_RESOLUTION-MEPC.196(62)-hong-kong-convention.pdf","1","0","2020-01-23 12:44:56","0000-00-00 00:00:00","8","0","0"
"51","10","23012020231651_BASEL-CONVENTION.pdf","1","0","2020-01-23 12:46:51","0000-00-00 00:00:00","8","0","0"
"52","11","24012020103336_Slide28.JPG","1","0","2020-01-24 00:03:36","2020-01-24 10:34:05","8","0","8"
"53","11","24012020103336_Slide27.JPG","1","0","2020-01-24 00:03:36","2020-01-24 10:34:05","8","0","8"
"54","11","24012020103336_Slide26.JPG","1","0","2020-01-24 00:03:36","2020-01-24 10:34:05","8","0","8"
"55","11","24012020103336_Slide25.JPG","1","0","2020-01-24 00:03:36","2020-01-24 10:34:05","8","0","8"
"56","11","24012020103336_Slide24.JPG","1","0","2020-01-24 00:03:36","2020-01-24 10:34:05","8","0","8"
"57","11","24012020103336_Slide23.JPG","1","0","2020-01-24 00:03:36","2020-01-24 10:34:05","8","0","8"
"58","11","24012020103336_Slide22.JPG","1","0","2020-01-24 00:03:36","2020-01-24 10:34:05","8","0","8"
"59","11","24012020103336_Slide21.JPG","1","0","2020-01-24 00:03:36","2020-01-24 10:34:05","8","0","8"
"60","11","24012020103451_Slide21.JPG","1","0","2020-01-24 00:04:51","0000-00-00 00:00:00","8","0","0"
"61","11","24012020103451_Slide22.JPG","1","0","2020-01-24 00:04:51","0000-00-00 00:00:00","8","0","0"
"62","11","24012020103451_Slide23.JPG","1","0","2020-01-24 00:04:51","0000-00-00 00:00:00","8","0","0"
"63","11","24012020103451_Slide24.JPG","1","0","2020-01-24 00:04:51","0000-00-00 00:00:00","8","0","0"
"64","11","24012020103451_Slide25.JPG","1","0","2020-01-24 00:04:51","0000-00-00 00:00:00","8","0","0"
"65","11","24012020103451_Slide26.JPG","1","0","2020-01-24 00:04:51","0000-00-00 00:00:00","8","0","0"
"66","11","24012020103451_Slide27.JPG","1","0","2020-01-24 00:04:51","0000-00-00 00:00:00","8","0","0"
"67","11","24012020103451_Slide28.JPG","1","0","2020-01-24 00:04:51","0000-00-00 00:00:00","8","0","0"
"68","11","24012020103524_Slide11.JPG","1","0","2020-01-24 00:05:24","0000-00-00 00:00:00","8","0","0"
"69","11","24012020103524_Slide12.JPG","1","0","2020-01-24 00:05:24","0000-00-00 00:00:00","8","0","0"
"70","11","24012020103524_Slide13.JPG","1","0","2020-01-24 00:05:24","0000-00-00 00:00:00","8","0","0"
"71","11","24012020103524_Slide14.JPG","1","0","2020-01-24 00:05:24","0000-00-00 00:00:00","8","0","0"
"72","11","24012020103524_Slide15.JPG","1","0","2020-01-24 00:05:24","0000-00-00 00:00:00","8","0","0"
"73","11","24012020103524_Slide16.JPG","1","0","2020-01-24 00:05:24","0000-00-00 00:00:00","8","0","0"
"74","11","24012020103524_Slide17.JPG","1","0","2020-01-24 00:05:24","0000-00-00 00:00:00","8","0","0"
"75","11","24012020103524_Slide18.JPG","1","0","2020-01-24 00:05:24","0000-00-00 00:00:00","8","0","0"
